Heart Rate,Time,Student,Temperature
96.55,09:01:17,S4,19.61
111.52,09:01:17,S5,19.85
70.57,09:01:17,S6,19.83
86.77,09:01:17,S7,19.54
86.98,09:01:17,S8,19.83
88.92,09:01:17,S9,19.62
95.83,09:01:18,S1,20.17
82.2,09:01:18,S10,20.09
107.05,09:01:18,S2,20.19
76.65,09:01:18,S3,19.77
96.52,09:01:18,S4,19.61
111.67,09:01:18,S5,19.85
70.53,09:01:18,S6,19.83
85.65,09:01:18,S7,19.57
87.17,09:01:18,S8,19.83
89.15,09:01:18,S9,19.62
96.28,09:01:19,S1,20.17
82.78,09:01:19,S10,20.09
106.9,09:01:19,S2,20.2
76.48,09:01:19,S3,19.77
96.45,09:01:19,S4,19.61
111.82,09:01:19,S5,19.85
70.45,09:01:19,S6,19.87
84.72,09:01:19,S7,19.57
87.27,09:01:19,S8,19.83
89.38,09:01:19,S9,19.62
96.73,09:01:20,S1,20.17
83.42,09:01:20,S10,20.09
106.78,09:01:20,S2,20.2
76.32,09:01:20,S3,19.77
96.37,09:01:20,S4,19.61
111.97,09:01:20,S5,19.85
70.45,09:01:20,S6,19.87
83.8,09:01:20,S7,19.57
87.35,09:01:20,S8,19.87
89.57,09:01:20,S9,19.62
97.18,09:01:21,S1,20.17
84.02,09:01:21,S10,20.09
106.62,09:01:21,S2,20.2
76.17,09:01:21,S3,19.73
96.28,09:01:21,S4,19.61
112.1,09:01:21,S5,19.85
70.47,09:01:21,S6,19.87
82.88,09:01:21,S7,19.53
