Heart Rate,Time,Student,Temperature
82.88,13:59:01,S5,33.95
86.82,13:59:01,S6,32.68
80.18,13:59:01,S7,27.75
79.83,13:59:01,S8,33.73
130.23,13:59:01,S9,33.95
86.62,13:59:02,S1,31.05
83.37,13:59:02,S10,30.05
104.45,13:59:02,S2,34.37
79.93,13:59:02,S3,32.23
90.33,13:59:02,S4,32.0
82.63,13:59:02,S5,33.95
87.25,13:59:02,S6,32.68
80.4,13:59:02,S7,27.75
80.07,13:59:02,S8,33.73
130.73,13:59:02,S9,33.95
86.95,13:59:03,S1,31.05
83.0,13:59:03,S10,30.05
103.6,13:59:03,S2,34.37
79.85,13:59:03,S3,32.23
90.7,13:59:03,S4,32.0
82.43,13:59:03,S5,33.95
87.7,13:59:03,S6,32.71
80.38,13:59:03,S7,27.75
80.32,13:59:03,S8,33.73
131.23,13:59:03,S9,33.95
87.25,13:59:04,S1,31.05
82.58,13:59:04,S10,30.05
102.78,13:59:04,S2,34.37
79.77,13:59:04,S3,32.23
91.08,13:59:04,S4,32.0
82.28,13:59:04,S5,33.95
88.08,13:59:04,S6,32.71
80.32,13:59:04,S7,27.73
80.57,13:59:04,S8,33.75
131.72,13:59:04,S9,33.95
87.57,13:59:05,S1,31.03
82.18,13:59:05,S10,30.05
101.95,13:59:05,S2,34.37
79.65,13:59:05,S3,32.23
91.52,13:59:05,S4,32.0
82.1,13:59:05,S5,33.95
88.48,13:59:05,S6,32.71
80.18,13:59:05,S7,27.73
80.78,13:59:05,S8,33.75
132.28,13:59:05,S9,33.95
87.88,13:59:06,S1,31.03
81.83,13:59:06,S10,30.05
101.22,13:59:06,S2,34.39
79.5,13:59:06,S3,32.23
91.88,13:59:06,S4,32.0
81.9,13:59:06,S5,33.95
88.88,13:59:06,S6,32.68
80.07,13:59:06,S7,27.73
80.98,13:59:06,S8,33.75
132.78,13:59:06,S9,33.95
88.32,13:59:07,S1,31.03
81.63,13:59:07,S10,30.05
100.65,13:59:07,S2,34.39
79.48,13:59:07,S3,32.23
92.33,13:59:07,S4,32.0
82.1,13:59:07,S5,33.95
89.27,13:59:07,S6,32.68
79.93,13:59:07,S7,27.73
81.13,13:59:07,S8,33.71
133.43,13:59:07,S9,33.95
88.78,13:59:08,S1,31.05
81.52,13:59:08,S10,30.07
100.07,13:59:08,S2,34.39
79.45,13:59:08,S3,32.23
92.77,13:59:08,S4,32.0
82.4,13:59:08,S5,33.95
89.65,13:59:08,S6,32.68
79.82,13:59:08,S7,27.73
81.25,13:59:08,S8,33.71
134.03,13:59:08,S9,33.95
89.13,13:59:09,S1,31.05
81.37,13:59:09,S10,30.07
99.63,13:59:09,S2,34.37
79.37,13:59:09,S3,32.23
93.18,13:59:09,S4,32.0
82.72,13:59:09,S5,33.95
90.05,13:59:09,S6,32.68
79.72,13:59:09,S7,27.73
81.33,13:59:09,S8,33.71
134.6,13:59:09,S9,33.95
89.52,13:59:10,S1,31.05
81.27,13:59:10,S10,30.07
99.18,13:59:10,S2,34.37
79.27,13:59:10,S3,32.23
93.63,13:59:10,S4,32.0
83.05,13:59:10,S5,33.95
90.45,13:59:10,S6,32.68
79.63,13:59:10,S7,27.75
81.45,13:59:10,S8,33.71
135.08,13:59:10,S9,33.95
89.85,13:59:11,S1,31.05
81.03,13:59:11,S10,30.05
98.7,13:59:11,S2,34.37
79.2,13:59:11,S3,32.25
93.95,13:59:11,S4,32.0
83.47,13:59:11,S5,33.97
90.65,13:59:11,S6,32.68
79.55,13:59:11,S7,27.75
81.57,13:59:11,S8,33.71
135.55,13:59:11,S9,33.95
90.4,13:59:12,S1,31.05
80.85,13:59:12,S10,30.05
98.22,13:59:12,S2,34.37
79.2,13:59:12,S3,32.25
94.3,13:59:12,S4,32.0
83.88,13:59:12,S5,33.97
90.88,13:59:12,S6,32.71
79.55,13:59:12,S7,27.75
81.65,13:59:12,S8,33.71
136.02,13:59:12,S9,33.95
90.93,13:59:13,S1,31.05
80.63,13:59:13,S10,30.05
97.88,13:59:13,S2,34.37
79.22,13:59:13,S3,32.25
94.63,13:59:13,S4,32.03
84.28,13:59:13,S5,33.97
91.13,13:59:13,S6,32.71
79.53,13:59:13,S7,27.77
81.83,13:59:13,S8,33.68
136.5,13:59:13,S9,33.95
91.38,13:59:14,S1,31.07
80.32,13:59:14,S10,30.07
97.58,13:59:14,S2,34.37
79.2,13:59:14,S3,32.25
94.95,13:59:14,S4,32.03
84.68,13:59:14,S5,33.95
91.57,13:59:14,S6,32.71
79.53,13:59:14,S7,27.77
82.02,13:59:14,S8,33.68
136.98,13:59:14,S9,33.95
92.1,13:59:15,S1,31.07
80.2,13:59:15,S10,30.07
97.37,13:59:15,S2,34.39
79.28,13:59:15,S3,32.25
95.32,13:59:15,S4,32.03
85.13,13:59:15,S5,33.95
91.98,13:59:15,S6,32.73
79.52,13:59:15,S7,27.77
82.22,13:59:15,S8,33.68
137.5,13:59:15,S9,33.97
92.82,13:59:16,S1,31.07
79.87,13:59:16,S10,30.07
97.2,13:59:16,S2,34.39
79.33,13:59:16,S3,32.25
95.65,13:59:16,S4,32.03
85.65,13:59:16,S5,33.95
92.43,13:59:16,S6,32.73
79.58,13:59:16,S7,27.75
82.42,13:59:16,S8,33.66
138.07,13:59:16,S9,33.97
93.53,13:59:17,S1,31.07
79.4,13:59:17,S10,30.11
97.0,13:59:17,S2,34.39
79.4,13:59:17,S3,32.23
96.08,13:59:17,S4,32.03
85.98,13:59:17,S5,33.95
92.87,13:59:17,S6,32.73
79.55,13:59:17,S7,27.75
82.77,13:59:17,S8,33.66
138.65,13:59:17,S9,33.97
94.22,13:59:18,S1,31.07
78.88,13:59:18,S10,30.11
96.82,13:59:18,S2,34.39
79.53,13:59:18,S3,32.23
96.57,13:59:18,S4,32.03
86.27,13:59:18,S5,33.95
93.3,13:59:18,S6,32.68
79.53,13:59:18,S7,27.75
83.12,13:59:18,S8,33.66
139.23,13:59:18,S9,33.95
94.88,13:59:19,S1,31.07
78.42,13:59:19,S10,30.11
96.8,13:59:19,S2,34.39
79.72,13:59:19,S3,32.23
97.05,13:59:19,S4,32.03
86.62,13:59:19,S5,33.95
93.72,13:59:19,S6,32.68
79.52,13:59:19,S7,27.73
83.6,13:59:19,S8,33.68
139.87,13:59:19,S9,33.95
95.5,13:59:20,S1,31.07
78.0,13:59:20,S10,30.11
96.88,13:59:20,S2,34.39
79.85,13:59:20,S3,32.25
97.53,13:59:20,S4,32.03
86.97,13:59:20,S5,33.97
94.13,13:59:20,S6,32.68
79.5,13:59:20,S7,27.73
84.12,13:59:20,S8,33.68
140.73,13:59:20,S9,33.95
96.08,13:59:21,S1,31.07
77.72,13:59:21,S10,30.11
97.15,13:59:21,S2,34.37
79.95,13:59:21,S3,32.25
98.08,13:59:21,S4,32.03
87.4,13:59:21,S5,33.97
94.52,13:59:21,S6,32.71
79.58,13:59:21,S7,27.73
84.6,13:59:21,S8,33.68
141.62,13:59:21,S9,33.95
96.78,13:59:22,S1,31.07
77.42,13:59:22,S10,30.11
97.38,13:59:22,S2,34.37
80.02,13:59:22,S3,32.25
98.5,13:59:22,S4,32.03
87.88,13:59:22,S5,33.97
94.97,13:59:22,S6,32.71
79.65,13:59:22,S7,27.73
85.1,13:59:22,S8,33.68
142.45,13:59:22,S9,33.95
97.5,13:59:23,S1,31.03
77.15,13:59:23,S10,30.11
97.63,13:59:23,S2,34.37
80.07,13:59:23,S3,32.25
98.98,13:59:23,S4,32.03
